(1, 1.0) | [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]
(2, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]
(3, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
(4, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
(5, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
(6, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1]
(7, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
(8, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
(9, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
(10, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
(11, 1.0) | [0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0]
(12, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]
(13, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]
(14, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]
(15, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]
(16, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]
(17, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0]
(18, 1.0) | [0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1]
(19, 1.0) | [0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0]
(20, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(21, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]
(22, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(23, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]
(24, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(25, 1.0) | [0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]
(26, 1.0) | [0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]
(27, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(28, 1.0) | [0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1]
(29, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(30, 1.0) | [0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]
(31, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]
(32, 1.0) | [0, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]
(33, 1.0) | [0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]
(34, 1.0) | [0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]
(35, 1.0) | [0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]
(36, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1]
(37, 1.0) | [0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]
(38, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(39, 1.0) | [0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1]
(40, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(41, 1.0) | [0, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1]
(42, 1.0) | [0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 1]
(43, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0]
(44, 1.0) | [0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]
(45, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
(46, 1.0) | [1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1]
(47, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
(48, 1.0) | [1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]
(49, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
(50, 1.0) | [1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1]
(51, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
(52, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(53, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
(54, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(55, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
(56, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1]
(57, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0]
