(1, 1.0) | [0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0] | None
(2, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0] | None
(3, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0] | None
(4, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1] | None
(5, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0] | None
(6, 1.0) | [0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1] | None
(7, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0] | None
(8, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | None
(9, 1.0) | [0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0] | None
(10, 1.0) | [0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | None
(11, 1.0) | [0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0] | None
(12, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1] | None
(13, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0] | None
(14, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1] | None
(15, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0] | None
(16, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 0, 1] | None
(17, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0] | None
(18, 1.0) | [0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1] | None
(19, 1.0) | [0, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0] | None
(20, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1] | None
(21, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0] | None
(22, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1] | None
(23, 1.0) | [0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 0] | None
(24, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1] | None
(25, 1.0) | [0, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1] | None
(26, 1.0) | [0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1] | None
(27, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1] | None
(28, 1.0) | [0, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1] | None
(29, 1.0) | [0, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1] | None
